source,target,context,tags,eng_start,eng_end,jpn_start,jpn_end
"You don't need a lot of space, so you can do it anywhere.",狭くてもできるからいつでもできるね,Time: 0:08:04.564000,,0:08:04.564000,0:08:06.570000,0:08:04.564000,0:08:06.570000
And relax...,ゆるめて,Time: 0:08:06.620000,,0:08:06.620000,0:08:07.560000,0:08:06.620000,0:08:07.560000
"Ahh, much better!",いい気分だね。,Time: 0:08:09.433000,,0:08:09.433000,0:08:10.970000,0:08:09.433000,0:08:10.970000
I'm super chilled.,最高にチル！,Time: 0:08:11.527000,,0:08:11.527000,0:08:13.694000,0:08:11.527000,0:08:13.694000
"For the last exercise, we're going to do a figure of eight breathing. So imagine you have a big figure of eight in front of you, and we're going to start in the middle,",最後のエクササイズは、８の字呼吸をやるよ！目の前に大きな８の字を描いてね、真ん中から始めよう！,Time: 0:08:14.684000,,0:08:14.684000,0:08:22.255000,0:08:14.684000,0:08:22.255000
"breathe in on the one side,",息を吸って～,Time: 0:08:22.517000,,0:08:22.517000,0:08:24.018000,0:08:22.517000,0:08:24.018000
"and as we get to the middle,",真ん中に来たら、,Time: 0:08:25.486000,,0:08:25.486000,0:08:26.629000,0:08:25.486000,0:08:26.629000
breathe out on the other side.,息を吐いていくよ,Time: 0:08:27.960000,,0:08:27.960000,0:08:29.206000,0:08:27.960000,0:08:29.206000
"Okay,",OK,Time: 0:08:29.820000,,0:08:29.820000,0:08:30.247000,0:08:29.820000,0:08:30.247000
"three, two, one.",3、2、1,Time: 0:08:31.373000,,0:08:31.373000,0:08:32.705000,0:08:31.373000,0:08:32.705000
"Remember, everyone does this at a different pace,",みんなペースが違うから、,Time: 0:08:45.418000,,0:08:45.418000,0:08:47.670000,0:08:45.418000,0:08:47.670000
so it's okay to keep your own.,自分のペースでね!,Time: 0:08:50.776000,,0:08:50.776000,0:08:52.158000,0:08:50.776000,0:08:52.158000
"Boy, that feels good.",いい感じだね！,Time: 0:08:57.312000,,0:08:57.312000,0:08:58.353000,0:08:57.312000,0:08:58.353000
definitely requires a little bit of concentrating.,みんな集中して頑張ろう。,Time: 0:09:09.496000,,0:09:09.496000,0:09:11.459000,0:09:09.496000,0:09:11.459000
"Excellent, kids.",よくやったね。,Time: 0:09:15.759000,,0:09:15.759000,0:09:16.885000,0:09:15.759000,0:09:16.885000
Everyone did such a great job during this adventure. Take some time to soak it in.,みんな今回の冒険もすごく頑張ったね！ゆっくり休んでね！,Time: 0:09:17.346000,,0:09:17.346000,0:09:21.578000,0:09:17.346000,0:09:21.578000
Yay!,イェーイ！,Time: 0:09:21.578000,,0:09:21.578000,0:09:22.215000,0:09:21.578000,0:09:22.215000
"See you soon, kids.",またね、みんな！,Time: 0:09:22.970000,,0:09:22.970000,0:09:24.075000,0:09:22.970000,0:09:24.075000
Thanks for joining us! See you next time!,参加してくれてありがとう！またね！！！,Time: 0:09:24.400000,,0:09:24.400000,0:09:26.390000,0:09:24.400000,0:09:26.390000
Break it Kids!,Break it Kids!,Time: 0:09:26.600000,,0:09:26.600000,0:09:27.635000,0:09:26.600000,0:09:27.635000
Break it kids!,Break it kids!,Time: 0:09:28.899000,,0:09:28.899000,0:09:30.145000,0:09:28.899000,0:09:30.145000
